time_order,symbol,type,act_price,limit_price,delta
2023-05-23 19:51:00,ETHBTC,Buy,0.06772,0.0665656,0.5
2023-05-21 17:42:00,LTCBTC,Buy,0.003429,0.0030861,0.5
2023-05-10 19:19:00,COSBNB,Buy,1.877e-05,1.86e-05,0.5
